time,value
2024-12-12T18:11:20.377651709Z,31
2024-12-12T18:11:31.191168943Z,31
2024-12-12T18:11:41.32971547Z,31
2024-12-12T18:11:51.475372156Z,31
2024-12-12T18:12:02.324593764Z,30
2024-12-12T18:12:12.476421506Z,30
2024-12-12T18:12:22.619556157Z,31
2024-12-12T18:12:33.425292693Z,30
2024-12-12T18:12:43.57001105Z,30
2024-12-12T18:12:53.714477938Z,30
2024-12-12T18:13:04.53487669Z,30
2024-12-12T18:13:14.682044385Z,31
2024-12-12T18:13:24.828816895Z,31
2024-12-12T18:13:35.65523595Z,30
2024-12-12T18:13:45.802020577Z,30
2024-12-12T18:13:55.954671676Z,31
2024-12-12T18:14:06.766437118Z,32
2024-12-12T18:14:16.903442238Z,31
2024-12-12T18:14:27.051216654Z,31
2024-12-12T18:14:37.861085295Z,31
2024-12-12T18:14:48.007943859Z,31
2024-12-12T18:14:58.163378095Z,31
2024-12-12T18:15:08.979341189Z,31
2024-12-12T18:15:19.126342749Z,31
2024-12-12T18:15:29.272194615Z,32
2024-12-12T18:15:40.093343818Z,32
2024-12-12T18:15:50.237159686Z,32
2024-12-12T18:16:00.383273474Z,32
2024-12-12T18:16:11.191426155Z,32
2024-12-12T18:16:21.337196993Z,32
2024-12-12T18:16:31.483003212Z,31
2024-12-12T18:16:42.303890036Z,31
2024-12-12T18:16:52.451325644Z,32
2024-12-12T18:17:02.599050728Z,31
2024-12-12T18:17:13.403958704Z,31
2024-12-12T18:17:23.550286138Z,31
2024-12-12T18:17:33.712129683Z,32
2024-12-12T18:17:44.990799136Z,31
2024-12-12T18:17:55.114230454Z,31
2024-12-12T18:18:05.270076874Z,31
2024-12-12T18:18:16.072072564Z,31
2024-12-12T18:18:26.207638438Z,30
2024-12-12T18:18:36.350174446Z,30
2024-12-12T18:18:47.186596926Z,30
2024-12-12T18:18:57.324705736Z,30
2024-12-12T18:19:07.469514807Z,31
2024-12-12T18:19:18.296031571Z,30
2024-12-12T18:19:28.438526943Z,30
2024-12-12T18:19:38.584156462Z,31
2024-12-12T18:19:49.38969964Z,31
2024-12-12T18:19:59.537795381Z,32
2024-12-12T18:20:09.68635073Z,31
2024-12-12T18:20:20.612215914Z,31
2024-12-12T18:20:30.752578076Z,31
2024-12-12T18:20:40.933560671Z,31
2024-12-12T18:20:53.186857726Z,31
2024-12-12T18:21:02.129383091Z,31
2024-12-12T18:21:12.274486019Z,31
2024-12-12T18:21:23.100566672Z,31
2024-12-12T18:21:33.228625593Z,31
2024-12-12T18:21:43.374446898Z,31
2024-12-12T18:21:54.203983649Z,31
2024-12-12T18:22:04.439376507Z,30
2024-12-12T18:22:14.49342881Z,30
2024-12-12T18:22:25.303667719Z,30
2024-12-12T18:22:35.473125504Z,30
2024-12-12T18:22:45.594251429Z,31
2024-12-12T18:22:56.407123609Z,31
2024-12-12T18:23:06.578119648Z,30
2024-12-12T18:23:16.697459595Z,30
2024-12-12T18:23:27.525282444Z,30
2024-12-12T18:23:37.663568991Z,30
2024-12-12T18:23:47.812643236Z,30
2024-12-12T18:23:58.647183169Z,30
2024-12-12T18:24:08.793816566Z,30
2024-12-12T18:24:18.941347695Z,30
2024-12-12T18:24:29.762929857Z,30
2024-12-12T18:24:39.921222761Z,30
2024-12-12T18:24:50.053694329Z,30
2024-12-12T18:25:00.859110001Z,30
2024-12-12T18:25:11.00735299Z,30
2024-12-12T18:25:21.152583169Z,30
2024-12-12T18:25:31.971513934Z,30
2024-12-12T18:25:42.127212373Z,30
2024-12-12T18:25:52.261656905Z,30
2024-12-12T18:26:03.079405515Z,30
2024-12-12T18:26:13.215769885Z,30
2024-12-12T18:26:23.363661611Z,30
2024-12-12T18:26:34.223562015Z,30
2024-12-12T18:26:44.360044536Z,30
2024-12-12T18:26:54.502529564Z,30
2024-12-12T18:27:05.311796772Z,30
2024-12-12T18:27:15.45866644Z,30
2024-12-12T18:27:25.603091812Z,31
2024-12-12T18:27:36.410382842Z,30
2024-12-12T18:27:46.560621807Z,30
2024-12-12T18:27:56.706070834Z,30
2024-12-12T18:28:07.522741111Z,30
2024-12-12T18:28:17.667253988Z,30
2024-12-12T18:28:27.812509512Z,30
2024-12-12T18:28:38.620915849Z,30
2024-12-12T18:28:48.771037855Z,30
2024-12-12T18:28:58.919241201Z,30
2024-12-12T18:29:09.742263786Z,30
2024-12-12T18:29:19.884638437Z,30
2024-12-12T18:29:30.045536787Z,30
2024-12-12T18:29:40.853570249Z,30
2024-12-12T18:29:50.98807754Z,30
2024-12-12T18:30:01.141277357Z,30
2024-12-12T18:30:11.947961738Z,30
2024-12-12T18:30:22.08541416Z,30
2024-12-12T18:30:32.234470365Z,30
2024-12-12T18:30:45.711956534Z,30
2024-12-12T18:30:55.553805412Z,30
2024-12-12T18:31:03.392219381Z,30
2024-12-12T18:31:14.245055131Z,30
2024-12-12T18:31:24.349085932Z,30
2024-12-12T18:31:34.494302455Z,31
2024-12-12T18:31:45.330532407Z,31
2024-12-12T18:31:55.457034562Z,31
2024-12-12T18:32:05.602715156Z,31
2024-12-12T18:32:16.427864968Z,31
2024-12-12T18:32:26.568373083Z,30
2024-12-12T18:32:36.714239256Z,30
2024-12-12T18:32:47.529789747Z,31
2024-12-12T18:32:57.678799642Z,31
2024-12-12T18:33:07.821654727Z,31
2024-12-12T18:33:18.656320814Z,30
2024-12-12T18:33:28.791591277Z,30
2024-12-12T18:33:38.937184646Z,30
2024-12-12T18:33:49.752104557Z,30
2024-12-12T18:33:59.891845822Z,30
2024-12-12T18:34:10.037484145Z,30
2024-12-12T18:34:20.860822062Z,30
2024-12-12T18:34:31.004908515Z,31
2024-12-12T18:34:41.152044861Z,32
2024-12-12T18:34:51.967182303Z,32
2024-12-12T18:35:02.11589426Z,33
2024-12-12T18:35:12.261949897Z,33
2024-12-12T18:35:23.089574684Z,32
2024-12-12T18:35:33.225467092Z,31
2024-12-12T18:35:43.370793902Z,31
2024-12-12T18:35:54.183952036Z,32
2024-12-12T18:36:04.332121856Z,32
2024-12-12T18:36:14.47971074Z,32
2024-12-12T18:36:25.28121502Z,32
2024-12-12T18:36:35.441904735Z,32
2024-12-12T18:36:45.573213729Z,32
2024-12-12T18:36:56.387208352Z,32
2024-12-12T18:37:06.53068458Z,32
2024-12-12T18:37:16.701980804Z,32
2024-12-12T18:37:27.492249149Z,32
2024-12-12T18:37:37.641792747Z,32
2024-12-12T18:37:47.788609778Z,31
2024-12-12T18:37:58.594867677Z,31
2024-12-12T18:38:08.756916924Z,31
2024-12-12T18:38:18.887609142Z,32
2024-12-12T18:38:29.69885592Z,32
2024-12-12T18:38:39.846255387Z,32
2024-12-12T18:38:49.990196428Z,32
2024-12-12T18:39:00.803971309Z,31
2024-12-12T18:39:10.953283272Z,31
2024-12-12T18:39:21.10387941Z,31
2024-12-12T18:39:31.921314433Z,31
2024-12-12T18:39:42.069239937Z,31
2024-12-12T18:39:52.215164296Z,31
2024-12-12T18:40:03.038755489Z,31
2024-12-12T18:40:13.191218271Z,31
2024-12-12T18:40:23.329867196Z,32
2024-12-12T18:40:34.139562068Z,32
2024-12-12T18:40:44.290273048Z,32
2024-12-12T18:40:54.4389876Z,31
2024-12-12T18:41:05.258570628Z,31
2024-12-12T18:41:15.401723699Z,31
2024-12-12T18:41:25.551970093Z,31
2024-12-12T18:41:36.364859069Z,31
2024-12-12T18:41:46.514402647Z,31
2024-12-12T18:41:56.650213729Z,31
2024-12-12T18:42:07.460590366Z,31
2024-12-12T18:42:17.606781969Z,31
2024-12-12T18:42:27.750620407Z,31
2024-12-12T18:42:38.559682596Z,30
2024-12-12T18:42:48.707094798Z,30
2024-12-12T18:42:58.852559707Z,30
2024-12-12T18:43:09.660327669Z,30
2024-12-12T18:43:19.807104816Z,30
2024-12-12T18:43:29.954145088Z,30
2024-12-12T18:43:40.767523253Z,31
2024-12-12T18:43:50.914116896Z,30
2024-12-12T18:44:01.061813005Z,30
2024-12-12T18:44:11.890133335Z,30
2024-12-12T18:44:22.026862614Z,30
2024-12-12T18:44:32.179667645Z,30
2024-12-12T18:44:42.993629842Z,30
2024-12-12T18:44:53.138939928Z,30
2024-12-12T18:45:03.281553614Z,30
2024-12-12T18:45:14.094040569Z,30
2024-12-12T18:45:24.23742836Z,30
2024-12-12T18:45:34.387956228Z,30
2024-12-12T18:45:45.192171897Z,30
2024-12-12T18:45:55.341502744Z,30
2024-12-12T18:46:05.498574152Z,30
2024-12-12T18:46:16.313059175Z,30
2024-12-12T18:46:26.450037023Z,30
2024-12-12T18:46:36.592101152Z,30
2024-12-12T18:46:47.413667568Z,31
2024-12-12T18:46:57.559270347Z,31
2024-12-12T18:47:07.704628818Z,31
2024-12-12T18:47:18.514110609Z,31
2024-12-12T18:47:28.656546791Z,31
2024-12-12T18:47:38.801782964Z,31
2024-12-12T18:47:49.629634235Z,31
2024-12-12T18:47:59.786701131Z,31
2024-12-12T18:48:09.922704843Z,30
2024-12-12T18:48:20.728651458Z,30
2024-12-12T18:48:30.877043753Z,30
2024-12-12T18:48:41.023285756Z,30
2024-12-12T18:48:51.831245835Z,30
2024-12-12T18:49:01.986118083Z,30
2024-12-12T18:49:12.123984394Z,30
2024-12-12T18:49:22.931065515Z,30
2024-12-12T18:49:33.080069232Z,30
2024-12-12T18:49:43.226661559Z,30
2024-12-12T18:49:54.050886418Z,31
2024-12-12T18:50:04.193945369Z,31
2024-12-12T18:50:14.338575717Z,31
2024-12-12T18:50:25.152140077Z,30
2024-12-12T18:50:35.295925103Z,30
2024-12-12T18:50:45.440880379Z,30
2024-12-12T18:50:56.270952381Z,30
2024-12-12T18:51:06.419865336Z,31
2024-12-12T18:51:16.564336961Z,31
2024-12-12T18:51:27.383500047Z,31
2024-12-12T18:51:37.536515911Z,31
2024-12-12T18:51:47.673886614Z,31
2024-12-12T18:51:58.486544617Z,31
2024-12-12T18:52:08.637465681Z,30
2024-12-12T18:52:18.778061213Z,30
2024-12-12T18:52:29.590995353Z,30
2024-12-12T18:52:39.738013031Z,30
2024-12-12T18:52:49.889572212Z,30
2024-12-12T18:53:00.729912428Z,30
2024-12-12T18:53:10.866851743Z,30
2024-12-12T18:53:20.993436747Z,30
2024-12-12T18:53:31.8230579Z,30
2024-12-12T18:53:41.957559855Z,30
2024-12-12T18:53:52.102696154Z,31
2024-12-12T18:54:02.914638996Z,31
2024-12-12T18:54:13.061676828Z,31
2024-12-12T18:54:23.205448654Z,31
2024-12-12T18:54:34.018554632Z,31
2024-12-12T18:54:44.220296014Z,31
2024-12-12T18:54:54.321845805Z,31
2024-12-12T18:55:05.154620374Z,31
2024-12-12T18:55:15.30959339Z,31
2024-12-12T18:55:25.454767067Z,31
2024-12-12T18:55:36.261438766Z,31
2024-12-12T18:55:46.404902237Z,31
2024-12-12T18:55:56.550340737Z,31
2024-12-12T18:56:07.3650031Z,30
2024-12-12T18:56:17.5126818Z,30
2024-12-12T18:56:27.656048942Z,30
2024-12-12T18:56:38.492432999Z,30
2024-12-12T18:56:48.631004929Z,30
2024-12-12T18:56:58.788326864Z,30
2024-12-12T18:57:09.63174486Z,30
2024-12-12T18:57:19.762750825Z,30
2024-12-12T18:57:29.905485114Z,30
2024-12-12T18:57:40.738955864Z,30
2024-12-12T18:57:50.910497753Z,30
2024-12-12T18:58:01.031735984Z,30
2024-12-12T18:58:11.838722063Z,30
2024-12-12T18:58:21.99437843Z,30
2024-12-12T18:58:32.129783194Z,30
2024-12-12T18:58:42.935288037Z,30
2024-12-12T18:58:53.080623979Z,30
2024-12-12T18:59:03.226835785Z,30
2024-12-12T18:59:14.05222226Z,30
2024-12-12T18:59:24.204082149Z,30
2024-12-12T18:59:34.346424024Z,30
2024-12-12T18:59:45.191590795Z,30
2024-12-12T18:59:55.299137431Z,30
2024-12-12T19:00:05.451000241Z,30
2024-12-12T19:00:16.290637617Z,30
2024-12-12T19:00:26.436961507Z,30
2024-12-12T19:00:36.582006203Z,30
2024-12-12T19:00:47.396595566Z,30
2024-12-12T19:00:57.540474849Z,30
2024-12-12T19:01:07.684875258Z,30
2024-12-12T19:01:18.495854766Z,30
2024-12-12T19:01:28.640880752Z,30
2024-12-12T19:01:38.783857569Z,30
2024-12-12T19:01:49.603666962Z,30
2024-12-12T19:01:59.751035439Z,30
2024-12-12T19:02:09.894645246Z,30
2024-12-12T19:02:20.710058611Z,30
2024-12-12T19:02:30.856211218Z,30
2024-12-12T19:02:41.001737662Z,30
2024-12-12T19:02:51.843924643Z,30
2024-12-12T19:03:01.985614652Z,30
2024-12-12T19:03:12.145538115Z,30
2024-12-12T19:03:22.93716175Z,30
2024-12-12T19:03:33.106724747Z,30
2024-12-12T19:03:43.23017701Z,30
2024-12-12T19:03:54.036019537Z,30
2024-12-12T19:04:04.184745251Z,30
2024-12-12T19:04:14.327883093Z,30
2024-12-12T19:04:25.159992842Z,30
2024-12-12T19:04:35.301045803Z,30
2024-12-12T19:04:45.456144458Z,30
2024-12-12T19:04:56.268622656Z,30
2024-12-12T19:05:06.411138455Z,30
2024-12-12T19:05:16.552369553Z,30
2024-12-12T19:05:27.369418848Z,30
2024-12-12T19:05:37.514273537Z,30
2024-12-12T19:05:47.661231531Z,30
2024-12-12T19:05:58.469980915Z,30
2024-12-12T19:06:08.622229088Z,30
2024-12-12T19:06:18.764703756Z,30
2024-12-12T19:06:29.58022336Z,30
2024-12-12T19:06:39.727250633Z,30
2024-12-12T19:06:49.873412192Z,30
2024-12-12T19:07:00.690303473Z,30
2024-12-12T19:07:10.837209797Z,30
2024-12-12T19:07:20.981070699Z,30
2024-12-12T19:07:31.805408507Z,30
2024-12-12T19:07:41.946953905Z,30
2024-12-12T19:07:52.09267672Z,30
2024-12-12T19:08:02.898415157Z,30
2024-12-12T19:08:13.048941457Z,30
2024-12-12T19:08:23.192978876Z,30
2024-12-12T19:08:34.002438958Z,30
2024-12-12T19:08:44.14737666Z,30
2024-12-12T19:08:54.293796551Z,30
2024-12-12T19:09:05.105379371Z,30
2024-12-12T19:09:15.249094217Z,30
2024-12-12T19:09:25.394313201Z,29
2024-12-12T19:09:36.222221328Z,30
2024-12-12T19:09:46.3617323Z,30
2024-12-12T19:09:56.50819179Z,30
2024-12-12T19:10:07.315171591Z,30
2024-12-12T19:10:17.463481596Z,30
2024-12-12T19:10:27.608994182Z,30
2024-12-12T19:10:38.460295033Z,29
2024-12-12T19:10:48.603873204Z,30
2024-12-12T19:10:58.744456656Z,30
2024-12-12T19:11:09.561735351Z,29
2024-12-12T19:11:19.707412143Z,29
2024-12-12T19:11:29.858144881Z,29
2024-12-12T19:11:40.740074377Z,29
2024-12-12T19:11:50.883815398Z,29
2024-12-12T19:12:01.028577201Z,29
2024-12-12T19:12:11.84921311Z,29
2024-12-12T19:12:21.996162254Z,29
2024-12-12T19:12:32.143556367Z,29
2024-12-12T19:12:42.948822388Z,29
2024-12-12T19:12:53.101085938Z,29
2024-12-12T19:13:03.240040824Z,29
2024-12-12T19:13:14.046934047Z,30
2024-12-12T19:13:24.195226397Z,30
2024-12-12T19:13:34.339990118Z,30
2024-12-12T19:13:45.146549028Z,30
2024-12-12T19:13:55.304344403Z,30
2024-12-12T19:14:05.445040105Z,30
2024-12-12T19:14:16.252314675Z,30
2024-12-12T19:14:26.39822233Z,29
2024-12-12T19:14:36.54554517Z,29
2024-12-12T19:14:47.351492236Z,29
2024-12-12T19:14:57.502216413Z,29
2024-12-12T19:15:07.643619819Z,29
2024-12-12T19:15:18.46274455Z,29
2024-12-12T19:15:28.616450487Z,29
2024-12-12T19:15:38.751243607Z,30
2024-12-12T19:15:49.584922684Z,30
2024-12-12T19:15:59.737827238Z,30
2024-12-12T19:16:09.876502813Z,30
2024-12-12T19:16:20.704359712Z,30
2024-12-12T19:16:30.854150888Z,29
2024-12-12T19:16:41.000332513Z,29
2024-12-12T19:16:51.804722729Z,29
2024-12-12T19:17:01.953168472Z,29
2024-12-12T19:17:12.105838825Z,30
2024-12-12T19:17:22.915771143Z,29
2024-12-12T19:17:33.067362911Z,29
2024-12-12T19:17:43.209009783Z,29
2024-12-12T19:17:54.021944629Z,29
2024-12-12T19:18:04.168781495Z,30
2024-12-12T19:18:14.31465023Z,30
2024-12-12T19:18:25.126023487Z,30
2024-12-12T19:18:35.270902857Z,29
2024-12-12T19:18:45.416630617Z,30
2024-12-12T19:18:56.271687562Z,30
2024-12-12T19:19:06.399981254Z,30
2024-12-12T19:19:16.53428792Z,30
2024-12-12T19:19:27.38411686Z,30
2024-12-12T19:19:37.500697579Z,30
2024-12-12T19:19:47.657024838Z,29
2024-12-12T19:19:58.465877017Z,29
2024-12-12T19:20:08.609313017Z,29
2024-12-12T19:20:18.759366917Z,30
2024-12-12T19:20:29.559645455Z,29
2024-12-12T19:20:39.708298788Z,30
2024-12-12T19:20:49.851724889Z,30
2024-12-12T19:21:00.671647261Z,30
2024-12-12T19:21:10.82564816Z,30
2024-12-12T19:21:20.966851756Z,31
2024-12-12T19:21:31.784189562Z,30
2024-12-12T19:21:41.932595864Z,30
2024-12-12T19:21:52.068369895Z,30
2024-12-12T19:22:02.883802257Z,30
2024-12-12T19:22:13.028480753Z,31
2024-12-12T19:22:23.177806651Z,31
2024-12-12T19:22:33.986239896Z,31
2024-12-12T19:22:44.134085501Z,31
2024-12-12T19:22:54.27782666Z,31
2024-12-12T19:23:05.096229868Z,31
2024-12-12T19:23:15.245515556Z,31
2024-12-12T19:23:25.391995186Z,30
2024-12-12T19:23:36.196171024Z,30
2024-12-12T19:23:46.344766628Z,29
