time,temperature,humidity,microphone
2024-12-07 00:40:05.987133819+00:00,25.8,40,4.36
2024-12-07 00:40:26.111524993+00:00,25.8,40,4.16
2024-12-07 00:40:46.143006578+00:00,25.8,40,32.44
2024-12-07 00:41:06.211615836+00:00,25.8,40,12.2
2024-12-07 00:41:26.300578464+00:00,25.8,40,3.16
2024-12-07 00:41:46.422800779+00:00,25.7,40,3.92
2024-12-07 00:42:06.503357970+00:00,25.7,40,4.52
2024-12-07 00:42:26.605436039+00:00,25.6,40,2.6
2024-12-07 00:42:46.705356082+00:00,25.6,40,9.76
2024-12-07 00:43:06.786506797+00:00,25.5,40,8.4
2024-12-07 00:43:26.912898137+00:00,25.5,41,4
2024-12-07 00:43:47.000191342+00:00,25.5,41,14.08
2024-12-07 00:44:07.110748925+00:00,25.5,41,12.56
2024-12-07 00:44:27.194867531+00:00,25.5,41,11.36
2024-12-07 00:44:47.307988149+00:00,25.4,41,22.52
2024-12-07 00:45:07.411727850+00:00,25.4,41,8.8
2024-12-07 00:45:27.526081253+00:00,25.5,41,4
2024-12-07 00:45:47.608039503+00:00,25.5,41,13.72
2024-12-07 00:46:07.709111485+00:00,25.5,41,3.88
2024-12-07 00:46:27.793005504+00:00,25.4,41,8.24
2024-12-07 00:46:47.898508704+00:00,25.4,41,3.72
2024-12-07 00:47:07.972758950+00:00,25.4,41,4.96
2024-12-07 00:47:28.091332387+00:00,25.4,42,13.12
2024-12-07 00:47:48.182237695+00:00,25.4,42,2.08
2024-12-07 00:48:08.309035422+00:00,25.3,42,8.32
2024-12-07 00:48:28.394709748+00:00,25.3,42,14.92
2024-12-07 00:48:48.514189107+00:00,25.4,42,10.52
2024-12-07 00:49:08.625611641+00:00,25.4,42,2.08
2024-12-07 00:49:28.763541067+00:00,25.5,43,5.92
2024-12-07 00:49:48.850705971+00:00,25.5,42,9.24
2024-12-07 00:50:08.964269960+00:00,25.5,42,1.68
2024-12-07 00:50:29.047604062+00:00,25.6,42,4.48
2024-12-07 00:50:49.173374684+00:00,25.7,41,5.28
2024-12-07 00:51:09.240998394+00:00,25.7,41,13.48
2024-12-07 00:51:29.357484291+00:00,25.7,41,13.6
2024-12-07 00:51:49.442908331+00:00,25.7,41,7.96
2024-12-07 00:52:09.556343070+00:00,25.7,41,4.72
